event_date,retail_unit_code,store_no,n_transactions
2023-07-07,DE,068,7424
2023-07-08,DE,068,6671
2023-07-09,DE,068,3260
2023-07-10,DE,068,6367
2023-07-11,DE,068,6826
2023-07-12,DE,068,10381
2023-07-13,DE,068,13133
2023-07-14,DE,068,9539
2023-07-15,DE,068,6870
2023-07-16,DE,068,3579
2023-07-17,DE,068,6574
2023-07-18,DE,068,6363
2023-07-19,DE,068,8538
2023-07-20,DE,068,7927
2023-07-21,DE,068,7816
2023-07-22,DE,068,7586
2023-07-23,DE,068,4156
2023-07-24,DE,068,7387
2023-07-25,DE,068,7195
2023-07-26,DE,068,8690
2023-07-27,DE,068,8850
2023-07-28,DE,068,8420
2023-07-29,DE,068,8685
2023-07-30,DE,068,4493
2023-07-31,DE,068,8402
2023-08-01,DE,068,8083
2023-08-02,DE,068,9439
2023-08-03,DE,068,9220
2023-08-04,DE,068,8815
2023-08-05,DE,068,8578
2023-08-06,DE,068,4705
2023-08-07,DE,068,8107
2023-08-08,DE,068,7832
2023-08-09,DE,068,8928
2023-08-10,DE,068,8791
2023-08-11,DE,068,8659
2023-08-12,DE,068,8524
2023-08-13,DE,068,3829
2023-08-14,DE,068,7550
2023-08-15,DE,068,7584
2023-08-16,DE,068,9575
2023-08-17,DE,068,9259
2023-08-18,DE,068,8718
2023-08-19,DE,068,7300
2023-08-20,DE,068,3489
2023-08-21,DE,068,7069
2023-08-22,DE,068,7801
2023-08-23,DE,068,8376
2023-08-24,DE,068,8557
2023-08-25,DE,068,7618
2023-08-26,DE,068,7091
2023-08-27,DE,068,4284
2023-08-28,DE,068,7000
2023-08-29,DE,068,7953
2023-08-30,DE,068,9886
2023-08-31,DE,068,9024
2023-09-01,DE,068,9001
2023-09-02,DE,068,8209
2023-09-03,DE,068,4249
2023-09-04,DE,068,7539
2023-09-05,DE,068,7493
2023-09-06,DE,068,9048
2023-09-07,DE,068,8772
2023-09-08,DE,068,8251
2023-09-09,DE,068,8103
2023-09-10,DE,068,4159
2023-09-11,DE,068,7565
2023-09-12,DE,068,8197
2023-09-13,DE,068,9653
2023-09-14,DE,068,8820
2023-09-15,DE,068,7989
2023-09-16,DE,068,7571
2023-09-17,DE,068,4226
2023-09-18,DE,068,7394
2023-09-19,DE,068,8199
2023-09-20,DE,068,9526
2023-09-21,DE,068,9268
2023-09-22,DE,068,8297
2023-09-23,DE,068,8064
2023-09-24,DE,068,4597
2023-09-25,DE,068,7759
2023-09-26,DE,068,8249
2023-09-27,DE,068,9668
2023-09-28,DE,068,8977
2023-09-29,DE,068,9226
2023-09-30,DE,068,8071
2023-10-01,DE,068,4691
2023-10-02,DE,068,7946
2023-10-03,DE,068,4943
2023-10-04,DE,068,8533
2023-10-05,DE,068,9254
2023-10-06,DE,068,9100
2023-10-07,DE,068,9272
2023-10-08,DE,068,4698
2023-10-09,DE,068,8250
2023-10-10,DE,068,8697
2023-10-11,DE,068,9334
2023-10-12,DE,068,10279
2023-10-13,DE,068,9502
2023-10-14,DE,068,9828
2023-10-15,DE,068,5374
2023-10-16,DE,068,8734
2023-10-17,DE,068,8558
2023-10-18,DE,068,10011
2023-10-19,DE,068,10622
2023-10-20,DE,068,9696
2023-10-21,DE,068,9815
2023-10-22,DE,068,5160
2023-10-23,DE,068,8773
2023-10-24,DE,068,9379
2023-10-25,DE,068,10915
2023-10-26,DE,068,10465
2023-10-27,DE,068,10308
2023-10-28,DE,068,10101
2023-10-29,DE,068,5410
2023-10-30,DE,068,9519
2023-10-31,DE,068,7747
2023-11-01,DE,068,7524
2023-11-02,DE,068,9356
2023-11-03,DE,068,10596
2023-11-04,DE,068,11278
2023-11-05,DE,068,6670
2023-11-06,DE,068,10865
2023-11-07,DE,068,10562
2023-11-08,DE,068,11682
2023-11-09,DE,068,11385
2023-11-10,DE,068,10814
2023-11-11,DE,068,10761
2023-11-12,DE,068,6148
2023-11-13,DE,068,9578
2023-11-14,DE,068,10126
2023-11-15,DE,068,12421
2023-11-16,DE,068,11319
2023-11-17,DE,068,10756
2023-11-18,DE,068,12117
2023-11-19,DE,068,6185
2023-11-20,DE,068,10436
2023-11-21,DE,068,10670
2023-11-22,DE,068,11951
2023-11-23,DE,068,11263
2023-11-24,DE,068,15688
2023-11-25,DE,068,13324
2023-11-26,DE,068,8016
2023-11-27,DE,068,11479
2023-11-28,DE,068,11569
2023-11-29,DE,068,11978
2023-11-30,DE,068,12158
2023-12-01,DE,068,12041
2023-12-02,DE,068,13432
2023-12-03,DE,068,10123
2023-12-04,DE,068,10425
2023-12-05,DE,068,10211
2023-12-06,DE,068,10668
2023-12-07,DE,068,10984
2023-12-08,DE,068,11726
2023-12-09,DE,068,11732
2023-12-10,DE,068,6430
2023-12-11,DE,068,11336
2023-12-12,DE,068,12139
2023-12-13,DE,068,12035
2023-12-14,DE,068,10888
2023-12-15,DE,068,11300
2023-12-16,DE,068,11495
2023-12-17,DE,068,5079
2023-12-18,DE,068,9316
2023-12-19,DE,068,10924
2023-12-20,DE,068,11012
2023-12-21,DE,068,10756
2023-12-22,DE,068,10204
2023-12-23,DE,068,6400
2023-12-24,DE,068,1492
2023-12-25,DE,068,2457
2023-12-26,DE,068,3453
2023-12-27,DE,068,7702
2023-12-28,DE,068,12899
2023-12-29,DE,068,13193
2023-12-30,DE,068,11168
2023-12-31,DE,068,3103
2024-01-01,DE,068,3933
2024-01-02,DE,068,9084
2024-01-03,DE,068,12312
2024-01-04,DE,068,11985
2024-01-05,DE,068,12614
2024-01-06,DE,068,10012
2024-01-07,DE,068,6126
2024-01-08,DE,068,10682
2024-01-09,DE,068,11216
2024-01-10,DE,068,11278
2024-01-11,DE,068,11683
2024-01-12,DE,068,11832
2024-01-13,DE,068,12114
2024-01-14,DE,068,6247
2024-01-15,DE,068,10940
2024-01-16,DE,068,11099
2024-01-17,DE,068,21432
2024-01-18,DE,068,9868
2024-01-19,DE,068,11067
2024-01-20,DE,068,11909
2024-01-21,DE,068,5383
2024-01-22,DE,068,10716
2024-01-23,DE,068,10632
2024-01-24,DE,068,12345
2024-01-25,DE,068,10998
2024-01-26,DE,068,11073
2024-01-27,DE,068,12045
2024-01-28,DE,068,5352
2024-01-29,DE,068,10442
2024-01-30,DE,068,11021
2024-01-31,DE,068,12325
2024-02-01,DE,068,11583
2024-02-02,DE,068,11862
2024-02-03,DE,068,12101
2024-02-04,DE,068,6089
2024-02-05,DE,068,9800
2024-02-06,DE,068,10934
2024-02-07,DE,068,11411
2024-02-08,DE,068,10623
2024-02-09,DE,068,10426
2024-02-10,DE,068,11668
2024-02-11,DE,068,5775
2024-02-12,DE,068,9571
2024-02-13,DE,068,10165
2024-02-14,DE,068,11716
2024-02-15,DE,068,10811
2024-02-16,DE,068,11109
2024-02-17,DE,068,10809
2024-02-18,DE,068,5813
2024-02-19,DE,068,9749
2024-02-20,DE,068,10305
2024-02-21,DE,068,11539
2024-02-22,DE,068,11055
2024-02-23,DE,068,11027
2024-02-24,DE,068,10545
2024-02-25,DE,068,5931
2024-02-26,DE,068,9727
2024-02-27,DE,068,10530
2024-02-28,DE,068,11378
2024-02-29,DE,068,11268
2024-03-01,DE,068,10534
2024-03-02,DE,068,10465
2024-03-03,DE,068,5436
2024-03-04,DE,068,9081
2024-03-05,DE,068,10342
2024-03-06,DE,068,10555
2024-03-07,DE,068,10214
2024-03-08,DE,068,9665
2024-03-09,DE,068,10014
2024-03-10,DE,068,5421
2024-03-11,DE,068,8949
2024-03-12,DE,068,9417
2024-03-13,DE,068,10446
2024-03-14,DE,068,10879
2024-03-15,DE,068,10199
2024-03-16,DE,068,10521
2024-03-17,DE,068,5433
2024-03-18,DE,068,8901
2024-03-19,DE,068,9829
2024-03-20,DE,068,11591
2024-03-21,DE,068,10647
2024-03-22,DE,068,10159
2024-03-23,DE,068,11362
2024-03-24,DE,068,6025
2024-03-25,DE,068,9967
2024-03-26,DE,068,10368
2024-03-27,DE,068,10440
2024-03-28,DE,068,11078
2024-03-29,DE,068,3915
2024-03-30,DE,068,10427
2024-03-31,DE,068,2974
2024-04-01,DE,068,5038
2024-04-02,DE,068,9562
2024-04-03,DE,068,10743
2024-04-04,DE,068,10242
2024-04-05,DE,068,11050
2024-04-06,DE,068,10122
2024-04-07,DE,068,4824
2024-04-08,DE,068,9149
2024-04-09,DE,068,10462
2024-04-10,DE,068,10415
2024-04-11,DE,068,10558
2024-04-12,DE,068,10540
2024-04-13,DE,068,9755
2024-04-14,DE,068,4664
2024-04-15,DE,068,9018
2024-04-16,DE,068,9662
2024-04-17,DE,068,10286
2024-04-18,DE,068,12169
2024-04-19,DE,068,12671
2024-04-20,DE,068,11842
2024-04-21,DE,068,7400
2024-04-22,DE,068,9498
2024-04-23,DE,068,9162
2024-04-24,DE,068,10460
2024-04-25,DE,068,11081
2024-04-26,DE,068,11094
2024-04-27,DE,068,9317
2024-04-28,DE,068,4293
2024-04-29,DE,068,8915
2024-04-30,DE,068,8451
2024-05-01,DE,068,3723
2024-05-02,DE,068,10165
2024-05-03,DE,068,10373
2024-05-04,DE,068,9345
2024-05-05,DE,068,4909
2024-05-06,DE,068,8397
2024-05-07,DE,068,8860
2024-05-08,DE,068,9026
2024-05-09,DE,068,3191
2024-05-10,DE,068,10799
2024-05-11,DE,068,8151
2024-05-12,DE,068,3554
2024-05-13,DE,068,8257
2024-05-14,DE,068,8876
2024-05-15,DE,068,9147
2024-05-16,DE,068,9182
2024-05-17,DE,068,9612
2024-05-18,DE,068,7248
2024-05-19,DE,068,3424
2024-05-20,DE,068,4185
2024-05-21,DE,068,7583
2024-05-22,DE,068,8799
2024-05-23,DE,068,9869
2024-05-24,DE,068,10745
2024-05-25,DE,068,8576
2024-05-26,DE,068,3923
2024-05-27,DE,068,7889
2024-05-28,DE,068,8403
2024-05-29,DE,068,9080
2024-05-30,DE,068,5891
2024-05-31,DE,068,9933
2024-06-01,DE,068,9077
2024-06-02,DE,068,4853
2024-06-03,DE,068,7378
2024-06-04,DE,068,8463
2024-06-05,DE,068,9283
2024-06-06,DE,068,9436
2024-06-07,DE,068,10355
2024-06-08,DE,068,8464
2024-06-09,DE,068,3965
2024-06-10,DE,068,7352
2024-06-11,DE,068,8273
2024-06-12,DE,068,9100
2024-06-13,DE,068,9528
2024-06-14,DE,068,10409
2024-06-15,DE,068,8652
2024-06-16,DE,068,4727
2024-06-17,DE,068,7654
2024-06-18,DE,068,8446
2024-06-19,DE,068,11378
2024-06-20,DE,068,9013
2024-06-21,DE,068,10015
2024-06-22,DE,068,8259
2024-06-23,DE,068,6353
2024-06-24,DE,068,7441
2024-06-25,DE,068,7914
2024-06-26,DE,068,8370
2024-06-27,DE,068,9007
2024-06-28,DE,068,9670
2024-06-29,DE,068,9981
2024-06-30,DE,068,5592
2024-07-01,DE,068,8883
2024-07-02,DE,068,10047
2024-07-03,DE,068,10892
2024-07-04,DE,068,10313
2024-07-05,DE,068,14335
2024-07-06,DE,068,15702
2024-07-07,DE,068,4421
2024-07-08,DE,068,9440
2024-07-09,DE,068,9039
2024-07-10,DE,068,9553
2024-07-11,DE,068,9528
2024-07-12,DE,068,11317
2024-07-13,DE,068,9973
2024-07-14,DE,068,4260
2024-07-15,DE,068,8543
2024-07-16,DE,068,9668
2024-07-17,DE,068,10237
2024-07-18,DE,068,9803
2024-07-19,DE,068,9916
2024-07-20,DE,068,8830
2024-07-21,DE,068,4059
2024-07-22,DE,068,9416
2024-07-23,DE,068,9999
2024-07-24,DE,068,10412
2024-07-25,DE,068,10048
2024-07-26,DE,068,10689
2024-07-27,DE,068,9258
2024-07-28,DE,068,4223
2024-07-29,DE,068,9057
2024-07-30,DE,068,10125
2024-07-31,DE,068,10335
2024-08-01,DE,068,10441
2024-08-02,DE,068,10688
2024-08-03,DE,068,9290
2024-08-04,DE,068,5214
2024-08-05,DE,068,8600
2024-08-06,DE,068,9924
2024-08-07,DE,068,10409
2024-08-08,DE,068,10264
2024-08-09,DE,068,11551
2024-08-10,DE,068,8888
2024-08-11,DE,068,4335
2024-08-12,DE,068,8098
2024-08-13,DE,068,8853
2024-08-14,DE,068,9829
2024-08-15,DE,068,9672
2024-08-16,DE,068,11906
2024-08-17,DE,068,9886
2024-08-18,DE,068,5640
2024-08-19,DE,068,8865
